timestamp,open,high,low,close,volume
2024-05-28 04:45:00,646.96,646.96,646.96,646.96,300
2024-05-28 05:10:00,648.0,648.12,648.0,648.12,730
2024-05-28 06:55:00,648.1,648.1,648.1,648.1,200
2024-05-28 07:05:00,648.1,648.5,648.1,648.5,497
2024-05-28 08:00:00,648.5,649.26,648.5,649.0,600
2024-05-28 08:05:00,648.75,648.75,648.75,648.75,222
2024-05-28 08:20:00,648.51,648.51,648.51,648.51,150
2024-05-28 08:25:00,648.6,648.6,648.6,648.6,200
2024-05-28 08:35:00,648.75,648.75,648.75,648.75,100
2024-05-28 08:40:00,648.05,648.3,648.05,648.3,740
2024-05-28 08:45:00,648.5,648.5,648.5,648.5,100
2024-05-28 08:50:00,647.65,647.65,647.65,647.65,100
2024-05-28 09:10:00,647.6331,647.6331,647.6331,647.6331,100
2024-05-28 09:15:00,647.85,647.86,647.85,647.86,580
2024-05-28 09:25:00,647.12,647.7,646.9,647.7,1800
2024-05-28 09:30:00,647.05,647.87,645.6,646.44,72902
2024-05-28 09:35:00,646.515,646.76,644.33,645.34,26910
2024-05-28 09:40:00,645.57,647.24,645.3926,646.75,23185
2024-05-28 09:45:00,646.64,646.8343,644.71,645.15,20663
2024-05-28 09:50:00,645.13,645.7484,643.0838,643.26,28147
2024-05-28 09:55:00,643.23,644.71,643.23,644.68,19257
2024-05-28 10:00:00,644.615,646.0877,643.72,645.9522,25473
2024-05-28 10:05:00,645.62,647.6284,645.62,647.6,22447
2024-05-28 10:10:00,647.65,648.71,647.38,648.04,24186
2024-05-28 10:15:00,648.31,648.4833,646.2,646.405,19645
2024-05-28 10:20:00,646.2,648.15,646.2,647.885,9440
2024-05-28 10:25:00,647.8756,647.9114,646.35,647.59,11672
2024-05-28 10:30:00,647.61,648.46,646.94,647.145,9965
2024-05-28 10:35:00,647.18,647.8999,647.18,647.455,12971
2024-05-28 10:40:00,647.31,648.71,647.25,647.58,11693
2024-05-28 10:45:00,647.76,647.83,647.0,647.515,12550
2024-05-28 10:50:00,647.515,648.3998,647.515,647.76,10167
2024-05-28 10:55:00,647.8566,647.8566,647.3,647.38,9640
2024-05-28 11:00:00,647.56,647.905,647.24,647.49,8338
2024-05-28 11:05:00,647.49,647.69,645.704,645.704,19734
2024-05-28 11:10:00,645.56,646.03,645.22,645.99,15106
2024-05-28 11:15:00,645.975,646.56,645.86,646.37,7842
