timestamp,open,high,low,close,volume
2024-05-28 04:00:00,430.84,430.84,430.71,430.71,300
2024-05-28 04:05:00,430.49,430.49,430.35,430.49,565
2024-05-28 04:15:00,430.5,430.5,430.32,430.47,1817
2024-05-28 04:20:00,430.31,430.6,430.31,430.6,727
2024-05-28 04:25:00,430.36,430.36,430.34,430.36,1760
2024-05-28 04:30:00,430.37,430.37,430.37,430.37,184
2024-05-28 04:45:00,430.67,430.67,430.67,430.67,100
2024-05-28 04:50:00,430.6,430.6,430.6,430.6,310
2024-05-28 05:00:00,430.81,430.81,430.81,430.81,329
2024-05-28 05:05:00,430.81,430.81,430.81,430.81,100
2024-05-28 05:10:00,430.71,430.71,430.71,430.71,675
2024-05-28 05:15:00,430.37,430.37,430.37,430.37,157
2024-05-28 05:20:00,430.63,430.63,430.63,430.63,100
2024-05-28 05:25:00,430.73,430.73,430.73,430.73,138
2024-05-28 05:30:00,430.44,430.44,430.44,430.44,100
2024-05-28 05:50:00,430.5,430.5,430.5,430.5,365
2024-05-28 06:05:00,430.3,430.3,430.3,430.3,100
2024-05-28 06:15:00,430.0,430.0,430.0,430.0,158
2024-05-28 06:20:00,429.11,429.11,428.75,428.75,300
2024-05-28 06:25:00,428.94,428.94,428.61,428.61,400
2024-05-28 06:30:00,428.79,429.0,428.79,429.0,648
2024-05-28 06:35:00,429.55,429.55,429.47,429.47,200
2024-05-28 06:40:00,429.15,429.39,429.15,429.39,1011
2024-05-28 06:45:00,428.84,428.84,428.32,428.32,2568
2024-05-28 06:50:00,428.35,428.82,428.35,428.82,440
2024-05-28 06:55:00,428.56,428.56,428.08,428.08,2467
2024-05-28 07:00:00,428.67,428.78,428.5,428.56,3703
2024-05-28 07:05:00,428.74,428.99,428.7,428.75,1381
2024-05-28 07:10:00,428.83,428.83,428.83,428.83,100
2024-05-28 07:15:00,428.83,429.0,428.8,429.0,1650
2024-05-28 07:20:00,428.79,428.79,428.5,428.5,1004
2024-05-28 07:25:00,428.7,428.87,428.5,428.86,892
2024-05-28 07:30:00,428.75,428.75,428.5,428.5,1611
2024-05-28 07:35:00,428.7,428.97,428.7,428.97,820
2024-05-28 07:40:00,429.0,429.0,429.0,429.0,100
2024-05-28 07:50:00,429.4,429.5,429.4,429.5,1290
2024-05-28 07:55:00,429.46,430.0,429.46,430.0,1816
2024-05-28 08:00:00,428.79,431.0,428.45,429.8,19889
2024-05-28 08:05:00,430.56,431.54,430.0,430.0,1770
2024-05-28 08:10:00,429.92,430.0285,429.92,430.0285,242
2024-05-28 08:15:00,429.8,429.8,429.39,429.6,2044
2024-05-28 08:20:00,429.75,429.8,429.3853,429.77,1436
2024-05-28 08:25:00,429.6,429.75,429.6,429.75,1325
2024-05-28 08:30:00,429.15,429.6279,429.0,429.3,2366
2024-05-28 08:35:00,429.3,429.3,429.0,429.3,2655
2024-05-28 08:40:00,429.2,429.77,429.14,429.23,5760
2024-05-28 08:45:00,429.21,429.21,428.8,428.9,3295
2024-05-28 08:50:00,429.31,429.4,429.31,429.4,1108
2024-05-28 08:55:00,429.5042,429.7458,429.5,429.7458,697
2024-05-28 09:00:00,429.7738,429.85,429.5,429.5,2267
2024-05-28 09:05:00,429.5,429.6708,429.11,429.24,2132
2024-05-28 09:10:00,429.05,429.25,429.05,429.25,929
2024-05-28 09:15:00,429.15,429.7,429.05,429.7,3790
2024-05-28 09:20:00,429.6,429.85,429.6,429.71,942
2024-05-28 09:25:00,430.03,430.43,429.66,429.99,10747
2024-05-28 09:30:00,429.82,430.0,427.1,428.27,646659
2024-05-28 09:35:00,428.23,429.97,428.095,429.61,314772
2024-05-28 09:40:00,429.74,430.82,428.33,428.35,271286
2024-05-28 09:45:00,428.375,428.66,426.6,426.66,252948
2024-05-28 09:50:00,426.72,427.46,426.72,427.295,162837
2024-05-28 09:55:00,427.2772,428.13,427.23,428.005,198329
2024-05-28 10:00:00,427.96,428.79,427.6201,428.3,166877
2024-05-28 10:05:00,428.355,429.25,428.1,429.23,132992
2024-05-28 10:10:00,429.17,429.91,428.63,428.69,146574
2024-05-28 10:15:00,428.685,429.06,428.27,428.695,116437
2024-05-28 10:20:00,428.6504,428.7231,428.22,428.53,88431
2024-05-28 10:25:00,428.555,428.6,428.13,428.45,112659
2024-05-28 10:30:00,428.42,428.8,428.3101,428.5,87856
2024-05-28 10:35:00,428.49,428.75,428.09,428.09,113706
2024-05-28 10:40:00,428.03,428.8,428.02,428.57,99162
2024-05-28 10:45:00,428.6,428.62,428.23,428.335,45615
2024-05-28 10:50:00,428.335,428.43,427.7601,427.96,111550
2024-05-28 10:55:00,427.965,428.6,427.83,428.59,105859
2024-05-28 11:00:00,428.6205,428.8297,428.26,428.56,77146
2024-05-28 11:05:00,428.53,428.84,428.37,428.79,56043
2024-05-28 11:10:00,428.825,429.32,428.74,428.96,65714
2024-05-28 11:15:00,428.9527,429.2037,428.37,428.61,51764
2024-05-28 11:20:00,428.6006,428.7,428.33,428.38,57966
2024-05-28 11:25:00,428.37,428.53,428.3216,428.44,36966
2024-05-28 11:30:00,428.46,428.81,428.21,428.28,48729
2024-05-28 11:35:00,428.28,428.33,427.98,428.1799,77434
2024-05-28 11:40:00,428.2,428.645,428.17,428.645,38657
2024-05-28 11:45:00,428.64,428.87,428.53,428.77,52874
2024-05-28 11:50:00,428.76,428.8,428.55,428.6,55447
2024-05-28 11:55:00,428.6016,428.64,428.26,428.425,75114
2024-05-28 12:00:00,428.48,428.7392,428.34,428.5,45701
2024-05-28 12:05:00,428.47,428.75,428.46,428.57,37395
2024-05-28 12:10:00,428.59,428.89,428.57,428.89,54000
2024-05-28 12:15:00,428.89,428.89,428.495,428.62,43509
