timestamp,open,high,low,close,volume
2024-05-28,176.4,178.25,173.16,176.75,59377218
2024-05-29,174.19,178.15,173.93,176.19,54289923
2024-05-30,178.575,182.67,175.38,178.79,77178145
2024-05-31,178.5,180.32,173.82,178.08,66587546
2024-06-03,178.13,182.6389,174.49,176.29,68017726
2024-06-04,174.775,177.755,174,174.77,59645961
2024-06-05,175.35,176.15,172.13,175,56742589
2024-06-06,174.6,179.73,172.73,177.94,69305542
2024-06-07,176.13,179.35,175.58,177.48,55458555
2024-06-10,176.06,178.57,173.17,173.79,50345728
